iter	Passed	Remaining
0	3	3632
1	6	3453
2	9	3082
3	15	3758
4	18	3716
5	23	3919
6	27	3958
7	38	4734
8	47	5229
9	58	5776
10	67	6110
11	77	6367
12	85	6520
13	92	6503
14	100	6586
15	108	6656
16	117	6812
17	124	6790
18	131	6771
19	140	6906
20	148	6928
21	155	6898
22	157	6709
23	161	6549
24	164	6409
25	167	6293
26	170	6154
27	175	6075
28	177	5952
29	181	5870
30	185	5787
31	188	5707
32	192	5640
33	194	5539
34	199	5489
35	201	5395
36	204	5333
37	208	5285
38	212	5244
39	216	5188
40	219	5130
41	223	5087
42	226	5047
43	230	5000
44	235	5002
45	238	4948
46	241	4899
47	249	4955
48	259	5028
49	266	5055
50	283	5278
51	292	5329
52	298	5339
53	301	5282
54	304	5229
55	307	5179
56	310	5130
57	313	5092
58	316	5050
59	319	5005
60	322	4962
61	325	4924
62	328	4885
63	331	4849
64	335	4820
65	337	4781
66	340	4746
67	343	4709
68	346	4677
69	349	4641
70	352	4608
71	355	4580
72	358	4551
73	361	4518
74	363	4489
75	366	4458
76	369	4430
77	372	4400
78	375	4377
79	378	4348
80	380	4320
81	383	4296
82	386	4273
83	389	4246
84	391	4209
85	394	4197
86	397	4175
87	400	4150
88	403	4129
89	406	4106
90	409	4089
91	412	4067
92	416	4057
93	417	4027
94	420	4004
95	423	3985
96	425	3961
97	429	3952
98	432	3934
99	434	3908
100	436	3888
101	440	3878
102	444	3871
103	448	3863
104	451	3847
105	454	3832
106	457	3817
107	459	3799
108	462	3784
109	465	3765
110	468	3751
111	471	3734
112	473	3716
113	476	3701
114	479	3686
115	481	3671
116	484	3657
117	487	3642
118	490	3633
119	493	3618
120	496	3604
121	499	3592
122	502	3581
123	505	3570
124	508	3561
125	511	3547
126	514	3534
127	516	3520
128	519	3508
129	522	3494
130	525	3483
131	526	3465
132	529	3452
133	532	3440
134	535	3429
135	537	3417
136	540	3405
137	543	3394
138	546	3384
139	549	3373
140	552	3362
141	554	3352
142	557	3342
143	560	3332
144	563	3323
145	566	3314
146	569	3304
147	572	3293
148	574	3283
149	577	3273
150	580	3261
151	582	3252
152	585	3244
153	588	3234
154	591	3226
155	594	3214
156	598	3210
157	600	3201
158	603	3194
159	606	3184
160	609	3175
161	611	3165
162	614	3155
163	617	3145
164	619	3135
165	622	3127
166	625	3122
167	628	3111
168	631	3103
169	633	3093
170	636	3084
171	638	3075
172	647	3096
173	652	3096
174	655	3088
175	667	3127
176	670	3118
177	674	3112
178	676	3104
179	679	3096
180	683	3093
181	688	3092
182	691	3086
183	695	3084
184	698	3075
185	702	3072
186	706	3069
187	710	3070
188	713	3061
189	716	3055
190	719	3045
191	721	3037
192	724	3029
193	727	3021
194	729	3012
195	732	3003
196	734	2995
197	737	2988
198	740	2979
199	743	2973
200	745	2965
201	749	2959
202	751	2950
203	753	2941
204	756	2933
205	758	2924
206	762	2920
207	764	2912
208	767	2903
209	769	2894
210	772	2887
211	774	2878
212	776	2870
213	779	2861
214	781	2853
215	784	2845
216	786	2838
217	789	2831
218	791	2821
219	793	2814
220	795	2804
221	798	2797
222	800	2790
223	803	2782
224	805	2775
225	809	2771
226	811	2764
227	814	2757
228	816	2750
229	819	2743
230	832	2769
231	834	2763
232	838	2760
233	845	2768
234	856	2787
235	864	2799
236	874	2816
237	879	2816
238	888	2828
239	893	2828
240	903	2846
241	910	2853
242	920	2867
243	928	2877
244	936	2884
245	943	2890
246	947	2889
247	955	2898
248	962	2903
249	969	2909
250	974	2908
251	983	2919
252	990	2925
253	999	2934
254	1014	2963
255	1024	2976
256	1038	3001
257	1047	3012
258	1056	3023
259	1065	3031
260	1077	3052
261	1086	3059
262	1091	3058
263	1094	3050
264	1097	3045
265	1100	3037
266	1104	3031
267	1106	3021
268	1112	3022
269	1115	3015
270	1125	3026
271	1127	3018
272	1131	3014
273	1135	3008
274	1138	3002
275	1142	2997
276	1145	2990
277	1149	2985
278	1152	2978
279	1156	2974
280	1159	2966
281	1161	2956
282	1165	2952
283	1171	2953
284	1177	2953
285	1183	2954
286	1191	2958
287	1200	2967
288	1204	2962
289	1212	2967
290	1217	2967
291	1226	2973
292	1234	2977
293	1241	2981
294	1248	2982
295	1255	2985
296	1262	2987
297	1268	2987
298	1276	2992
299	1284	2997
300	1292	3001
301	1300	3005
302	1304	3001
303	1314	3009
304	1339	3052
305	1347	3055
306	1357	3063
307	1371	3082
308	1383	3094
309	1393	3101
310	1402	3107
311	1413	3116
312	1419	3116
313	1424	3112
314	1434	3119
315	1441	3121
316	1449	3122
317	1457	3125
318	1465	3128
319	1471	3126
320	1480	3132
321	1490	3137
322	1496	3136
323	1504	3139
324	1512	3141
325	1520	3143
326	1524	3138
327	1534	3144
328	1541	3143
329	1549	3146
330	1557	3147
331	1564	3148
332	1571	3147
333	1581	3153
334	1589	3154
335	1593	3148
336	1596	3141
337	1601	3135
338	1604	3128
339	1608	3122
340	1612	3115
341	1616	3110
342	1620	3103
343	1624	3097
344	1627	3090
345	1632	3085
346	1635	3078
347	1640	3072
348	1644	3066
349	1647	3059
350	1651	3054
351	1654	3045
352	1658	3040
353	1661	3031
354	1665	3026
355	1668	3018
356	1673	3014
357	1682	3016
358	1690	3019
359	1698	3018
360	1705	3018
361	1712	3017
362	1719	3017
363	1726	3016
364	1734	3016
365	1739	3013
366	1747	3014
367	1755	3015
368	1764	3017
369	1769	3012
370	1779	3016
371	1786	3016
372	1797	3020
373	1805	3021
374	1812	3020
375	1821	3022
376	1831	3025
377	1835	3020
378	1845	3024
379	1854	3025
380	1862	3026
381	1870	3026
382	1877	3025
383	1883	3021
384	1891	3021
385	1901	3024
386	1907	3021
387	1915	3021
388	1920	3016
389	1930	3020
390	1935	3014
391	1944	3016
392	1951	3014
393	1956	3009
394	1965	3010
395	1981	3021
396	1994	3029
397	2009	3039
398	2019	3041
399	2026	3039
400	2035	3039
401	2039	3034
402	2049	3035
403	2052	3027
404	2060	3027
405	2069	3027
406	2075	3024
407	2085	3025
408	2091	3022
409	2099	3021
410	2108	3021
411	2116	3019
412	2120	3014
413	2129	3013
414	2134	3008
415	2142	3007
416	2150	3006
417	2158	3004
418	2163	3000
419	2172	3000
420	2180	2998
421	2188	2997
422	2195	2995
423	2209	3001
424	2217	3000
425	2228	3003
426	2239	3005
427	2247	3003
428	2255	3002
429	2263	3001
430	2270	2997
431	2280	2997
432	2288	2996
433	2295	2994
434	2303	2991
435	2311	2990
436	2320	2989
437	2328	2987
438	2332	2980
439	2340	2979
440	2350	2979
441	2359	2978
442	2366	2975
443	2371	2969
444	2380	2969
445	2389	2967
446	2395	2963
447	2404	2962
448	2412	2959
449	2416	2953
450	2425	2952
451	2432	2949
452	2439	2945
453	2448	2944
454	2456	2942
455	2466	2941
456	2473	2938
457	2482	2937
458	2489	2934
459	2497	2932
460	2503	2927
461	2511	2924
462	2519	2922
463	2524	2916
464	2533	2915
465	2541	2911
466	2549	2910
467	2559	2909
468	2566	2905
469	2574	2903
470	2582	2900
471	2590	2897
472	2599	2895
473	2605	2891
474	2613	2888
475	2620	2884
476	2628	2882
477	2635	2877
478	2640	2871
479	2649	2869
480	2657	2867
481	2665	2864
482	2675	2864
483	2693	2871
484	2697	2864
485	2707	2863
486	2715	2860
487	2724	2858
488	2732	2855
489	2739	2851
490	2747	2848
491	2754	2843
492	2762	2841
493	2770	2837
494	2777	2834
495	2787	2832
496	2795	2829
497	2802	2824
498	2808	2820
499	2817	2817
500	2826	2815
501	2835	2812
502	2844	2810
503	2851	2806
504	2858	2802
505	2866	2798
506	2871	2792
507	2881	2791
508	2887	2785
509	2895	2782
510	2906	2781
511	2914	2778
512	2923	2775
513	2931	2771
514	2937	2766
515	2945	2762
516	2952	2757
517	2959	2753
518	2965	2748
519	2973	2744
520	2981	2741
521	2989	2737
522	2998	2735
523	3006	2730
524	3013	2726
525	3022	2723
526	3029	2718
527	3037	2715
528	3044	2710
529	3050	2705
530	3060	2703
531	3067	2698
532	3073	2692
